annotation_id,backbone,language,config,variant,seed,example_index,context,question,gold_answer,generated_answer,em,f1,f_faith_model_score,annotator_1_judgment,annotator_1_notes,annotator_2_judgment,annotator_2_notes,adjudicated_judgment
A0011,mt5-base,malay,C_composite_lora,qlora,42,368,"Walaupun anda tidak memerlukan visa untuk lawatan singkat ke negara-negara tertentu sebagai pelancong atau bagi tujuan perniagaan, secara umumnya pelajar antarabangsa perlu tinggal di sana lebih lama berbanding sebagai pelancong kasual. Pada amnya duduk di negara asing untuk jangkamasa yang dipanjangkan memerlukan anda mendapatkan visa terlebih dahulu. Visa pelajar umumnya mempunyai keperluan dan prosedur permohonan yang berbeza daripada visa pelancong biasa atau perniagaan. Untuk kebanyakan negara, anda perlu surat tawaran dari institusi di mana anda ingin belajar, dan juga bukti dana untuk menyokong diri anda untuk sekurang-kurangnya tahun pertama kursus anda. Semak dengan institusi, dan juga jabatan imigresen negara di mana anda ingin belajar tentang syarat-syarat terperinci.",Apakah jenis visa yang mungkin memerlukan seseorang untuk membuktikan sokongan kewangan yang mencukupi?,Visa pelajar,Visa pelancong,0,0.5,0.0054,,,,,
A0012,mt5-base,malay,B_ce_lora,dora,42,249,"Hanya beberapa syarikat penerbangan masih menawarkan tambang perkabungan, ia dapat membantu mengurangkan kos perjalanan pengebumian pada saat-saat terakhir. Syarikat penerbangan yang menawarkan ini termasuk Air Canada, Delta Air Lines, Lufthansa untuk penerbangan yang bermula dari A.S. atau Kanada, dan WestJet. Dalam semua kes, anda mesti menempah melalui telefon secara terus dengan syarikat penerbangan itu.",Dalam situasi manakah anda mungkin tidak ditawarkan tambang perkabungan?,Jika anda menaiki Lufthansa daripada Paris ke Amerika Syarikat,Jet,0,0.0,0.0003,,,,,
A0013,mt5-base,arabic,B_ce_lora,qlora,42,319,﻿إيرغانزونغشولين هي مدارس ثانوية أو ما بعد الثانوية (غير جامعية) يديرها أفراد عاديون أو مؤسسات خاصة أو نادرًا مجموعات مجموعات دينية وتقدم نوعًا من التعليم غير متوفر في المدارس العامة. إن معظم هذه المدارس عبارة عن مدارس مهنية. ومع ذلك، فإن هذه المدارس المهنية ليست جزءًا من نظام التعليم المزدوج الألماني. تتمتع مدارس إيرغانزونغشولين بحرّية العمل خارج التنظيم الحكومي ويتم تمويلها بالكامل من خلال فرض رسوم على الطلاب، رسوم الرسوم الدراسية.,إلى جانب الأفراد والمنظمات الخاصة، ما هي المجموعات التي تدير مدارس إيرغانزونغشولين أحيانًا؟,مجموعات دينية,أفراد وجمعيات الخاصة,0,0.0,0.9453,,,,,
A0014,mt5-base,arabic,B_ce_lora,dora,42,107,يرى بعض الباحثين المعاصرين مثل فيلدينج هـ. جاريسون أنه يمكن تتبع أصل علم الجيولوجيا إلى بلاد فارس بعد انتهاء الفتوحات الإسلامية. كان أبو الريحان البيروني (973–1048 م) أحد أوائل الجيولوجيين الفرس الذين تضمنت أعمالهم الكتابات الأولى عن جيولوجيا الهند، إذ افترض أن شبه القارة الهندية كانت ذات يوم بحرًا. بالاعتماد على الأدبيات العلمية اليونانية والهندية التي لم تدمرها الفتوحات الإسلامية، اقترح الباحث الفارسي ابن سينا (أفيسينا، 981–1037م) تفسيرات مفصلة لتكوّن الجبال وأصل الزلازل وغيرها من المواضيع الجوهرية للجيولوجيا الحديثة، مما وفرت أساساً رئيسياً لتطور هذا العلم لاحقاً. في الصين صاغ  الباحث الموسوعي شين كوو (1031–1095م) فرضيةً لعملية تكوين الأرض: استنادًا إلى معاينته أصداف الحيوانات الأحفورية في طبقة جيولوجية في جبلٍ يبعد عن المحيط بمئات الأميال فقد استنتج أن الأرض تشكلت بسبب تآكل الجبال وترسب الطمي.,ما الذي دفع شين كوو إلى الاعتقاد بأن الأرض قد تشكلت بسبب تآكل الجبال؟,معاينته أصداف الحيوانات الأحفورية,رذاً,0,0.0,0.0019,,,,,
A0015,mt5-base,malay,B_ce_lora,dora,42,56,"Piquet Jr. terhempas di Grand Prix Singapura 2008 betul-betul selepas perhentian pit awal untuk Fernando Alonso, membawa keluar kereta keselamatan. Ketika kereta di hadapan Alonso berhenti untuk mengisi minyak di bawah kereta keselamatan, dia mengejar pelumba lain untuk meraih kejayaan. Piquet Jr. dipecat selepas Grand Prix Hungaria 2009.",Kenyataan manakah menggambarkan dengan tepat keputusan Grand Prix Hungary 2009?,Piquet Jr. dipecat selepas itu,Piquet Jr. terlibat dengan kemalangan,0,0.4,0.9751,,,,,
A0016,mt5-base,malay,C_composite_lora,dora,42,65,Fluke menulis tentang beberapa usaha oleh sesetengah pihak yang menghalang wanita daripada membicarakan tentang kesihatan wanita namun tidak berjaya. Beliau membuat kesimpulan tersebut disebabkan banyak komen positif dan galakan yang diberikan oleh individu lelaki dan perempuan yang mengatakan bahawa ubat kontrasepsi harus dipertimbangkan sebagai keperluan perubatan.,"Menurut Fluke, siapakah yang menghantar komen positif dan galakan kepada beliau?",Kedua-dua lelaki dan wanita,Le,0,0.0,0.0003,,,,,
A0017,mt5-base,malay,B_ce_lora,dora,42,18,"Pada hari Rabu, Persatuan Bola Keranjang Kebangsaan Amerika Syarikat (NBA) telah menangguhkan musim bola keranjang profesional kerana kebimbangan berkenaan COVID-19. Keputusan NBA adalah berikutan pemain Utah Jazz yang diuji positif untuk virus COVID-19.",Manakah antara berikut yang NBA memutuskan untuk tangguh?,Musim bola keranjang,Musim bola keranjang,1,1.0,0.0006,,,,,
A0018,mt5-base,malay,C_composite_lora,dora,42,42,"Hamilton mengesahkan bahawa pesakit yang dimasukkan ke Universiti Hospital Howard berada dalam keadaan stabil. Pesakit telah ke Nigeria, di mana beberapa kes virus Ebola telah berlaku. Hospital telah mengikuti protokol untuk mengawal jangkitan, termasuk memisahkan pesakit lain untuk mencegah kemungkinan jangkitan dari orang lain.",Manakah antara berikut tidak disahkan oleh Hamilton?,Kebarangkalian pesakit lain mendapat virus tersebut,Sama pesakit,0,0.25,0.0022,,,,,
A0019,mt5-base,arabic,B_ce_lora,dora,42,498,كينيا تنشط في عدة من الألعاب الرياضية، من بينها لعبة الكريكيت والجمع وكرة القدم واتحاد الرجبي والملاكمة. تشتهر البلاد بشكل رئيسي ب هيمنتها على ألعاب القوى ذات المسافات المتوسطة والمساف الطويلة، لأنها أنتجت باستمرار أبطال الألعاب الأولمبية والكومنولث في العديد من الأحداث مختلفة المسافات، خاصة في 800 م و1500 م و3000 م في سباق حواجز للخيول، 5000 م، 10000م والماراثون. يواصل الرياضيون الكينيون (خاصة كالينجين) السيطرة على عالم الركض المسافات، رغم أن المنافسة من المغرب وإثيوبيا قلَّلَت من هذا التفوق. ومن بين الرياضيين المشهورين جداً في كينيا الفائزة أربع مرات في ماراثون بوسطن النسائي وبطلة العالم مرتين كاثرين نديريبا وحامل الرقم القياسي العالمي في سباق 800 متر ديفيد روديشا وصاحب الرقم القياسي العالمي في الماراثون السابق بول تيرجات وجون نغوجي.,من يهيمن على عالم الجري لمسافات طويلة؟,يواصل الرياضيون الكينيون (خاصة كالينجين),رياضة,0,0.0,0.0085,,,,,
A0020,mt5-base,malay,C_composite_lora,qlora,42,6,"Bekas Yang Dipertua Dewan Rakyat Newt Gingrich, gabenor Texas Rick Perry, dan Ahli Kongres Michele Bachmann selesai di tempat keempat, kelima dan keenam masing-masing. Selepas keputusan tiba, Gingrich memuji Santorum, tetapi mengkritik Romney disebabkan kempen pengiklanan negatifnya yang ditayangkan di Iowa menentang Gingrich. Perry menyatakan bahawa dia akan “kembali ke Texas untuk menilai hasil kokus malam ini, dan melihat jika saya mempunyai peluang dalam pertarungan ini”. Namun kemudian dia berkata dia akan kekal dalam pertarungan dan bersaing dalam pemilihan pendahuluan South Carolina pada 21 Januari. Bachmann, yang memenangi Pengundian Ames Straw pada bulan Ogos, mengambil keputusan untuk menamatkan kempen beliau.","Menurut petikan, siapakah yang tidak terus bertanding selepas keputusan kokus?",Bachmann,Gingrich,0,0.0,0.0035,,,,,
A0021,mt5-base,arabic,C_composite_lora,dora,42,615,كما هو الحال في مجلس العموم، هناك عدد من المؤهلات تنطبق على كونك مُزَوِّد خدمة مُدارَة. تم تقديم مثل هذه المؤهلات بموجب قانون تنحية مجلس العموم لعام 1975 وقانون الجنسية البريطانية 1981. على وجه التحديد، يجب أن يكون الأعضاء أكبر من 18 عاماً ويجب أن يكونوا مواطنين في المملكة المتحدة أو جمهورية أيرلندا أو إحدى دول الكومنولث للأمم أو مواطناً في إقليم بريطاني في الخارج أو مواطن من الاتحاد الأوروبي مقيم في المملكة المتحدة. يتم استبعاد أعضاء الشرطة والقوات المسلحة من الجلوس في البرلمان الاسكتلندي كأعضاء منتخبين من مُزَوِّدي الخدمة المُدارَة، وبالمثل، يتم استبعاد الموظفين المدنيين وأعضاء الهيئات التشريعية الأجنبية. لا يجوز للفرد أن يجلس في البرلمان الاسكتلندي إذا كان هو أو هي مجنوناً بموجب أحكام قانون الصحة العقلية (الرعاية والعلاج) (اسكتلندا)  2003.,ما الحُكم الذي يحدد مصطلح الحكم على حدود التعقل التي يجب على الأفراد الراغبين في الجلوس في الحزب الشيوعي الالتزام بها؟,الصحة العقلية (الرعاية والعلاج) (اسكتلندا)  2003,18,0,0.0,0.0022,,,,,
A0022,mt5-base,arabic,B_ce_lora,dora,42,577,راين-ميوزي دلتا، المنطقة الطبيعية الأكثر أهمية في هولندا تبدأ بالقرب من ميلنجن آن دي ريجن، بالقرب من الحدود الهولندية الألمانية مع تقسيم رهين في وائل ونيدرسين. نظراً لأن نهر الراين يساهم بمعظم الماء، فإن المصطلح الأقصر دلتا الراين يستخدم بشكل شائع. ومع ذلك، يتم استخدام هذا الاسم أيضاً في دلتا النهر حيث يتدفق نهر الراين إلى بحيرة كونستانس، لذلك فمن الواضح سبب تسمية الأكبر دلتا ميوزي-الراين، أو حتى دلتا-ميوزي، أو  حتى شيلدتâ€“ميوزâ€“الراين، حيث شيلدت ينتهي في نفس الدلتا.,ما هو لقب الدلتا في هولندا؟,دلتا الراين,دلتا,0,0.6667,0.013,,,,,
A0023,mt5-base,malay,B_ce_lora,dora,42,20,"Pemain Terbaik hari ini ialah Alex Ovechkin dari pasukan Washington Capital. Dia mendapat 2 gol dan 2 bantuan dalam kemenangan Washington 5-3 semasa menewas Atlanta Thrashers. Sepakan bantuan pertama Ovechkin adalah gol yang memenangi permainan oleh pemain baru Nicklas Backstrom; gol keduanya pada malam itu adalah yang ke-60 musim ini, menjadi pemain pertama menjaringkan 60 atau lebih gol dalam satu musim sejak 1995-1996, apabila Jaromir Jagr dan Mario Lemieux mencapai detik itu.",Siapakah yang menjaringkan gol kemenangan untuk Washington Capitals dalam perlawanan menentang Atlanta Thrashers?,Nicklas Backstrom,Alexander Ovechkin,0,0.0,0.6846,,,,,
A0024,mt5-base,arabic,B_ce_lora,qlora,42,684,"في أوروبا، لا يُطلق عادةً اسم منفصل على مسرح أمريكا الشمالية لحرب السنوات السبع. يعرف الصراع الدولي برمته بحرب السنوات السبع. فتشير ""السنوات السبع"" إلى الأحداث في أوروبا، من الإعلان الرسمي للحرب في 1756 إلى توقيع معاهدة السلام في 1763. وهذه التواريخ لا تتوافق مع القتال على الأراضي شمال الأمريكية، حيث اختتم القتال بين القوتين الاستعماريتين بشكل كبير في ست سنوات، من معركة جومونفيل غلين في 1754 إلى الاستيلاء على مونتريال في 1760.",كم دام القتال في حرب السنوات السبع؟,ست سنوات,أوروبا,0,0.0,0.0218,,,,,
A0025,mt5-base,malay,B_ce_lora,dora,42,132,"Beliau berkata, “Tidak ada kepintaran untuk mencadangkan bahawa serangan dijangka tidak lama lagi. Namun,pengurangan tahap ancaman kepada teruk tidak bermakna keseluruhan ancaman telah hilang.","Menurut petikan, apakah maklumat yang diketahui?",Tahap ancaman telah dikurangkan,Tahap ancaman telah dikurangkan,1,1.0,0.998,,,,,
A0026,mt5-base,arabic,C_composite_lora,qlora,42,693,بعد أن عاد واشنطن إلى ويليامزبرغ، أمره دينويدي بقيادة قوة أكبر لمساعدة ترنت في عمله. وبينما هو في الطريق إليه، علِم واشنطون بانسحاب ترنت. وبما أن تاناغريسون قد وعد بدعم البريطانيين، واصل واشنطن المسير صوب حصن دوكان والتقى مع زعيم المينغو. ومع علمه بوجود فرقة كشافة فرنسية في المنطقة، قام واشنطن، مع تاناغريسون وفرقته، بمفاجأة الكنديين في 28 مايو في ما أصبح يعرف باسم معركة جومونفيل غلين. وقد قتلوا الكثير من الكنديين، بما في ذلك الضابط الآمر، جوزيف كولون دي جومونفيل، الذي قيل أن تاناغريسون قسم رأسه بواسطة توماهوك. ويشير المؤرخ فريد أندرسون إلى أن تاناغريسون كان يتصرف للحصول على دعم البريطانيين واستعادة السلطة على شعبه. لقد كانوا يميلون إلى دعم الفرنسيين، الذين كانت لهم معهم علاقات تجارية طويلة. وقد أخبر أحد رجال تاناغريسون كونتروكور بأن جومونفيل قد قُتل بنيران البنادق البريطانية.,عند علمه بوجود فرقة كشافة فرنسية في المنطقة، ماذا فعل واشنطن؟,بمفاجأة الكنديين في 28 مايو,فريق رأسه بواسطة توماهوك,0,0.0,0.0015,,,,,
A0027,mt5-base,malay,B_ce_lora,qlora,42,421,"Hidupan liar adalah antara motif yang paling mencabar kepada jurugambar dan ia memerlukan kombinasi nasib baik, kesabaran, pengalaman dan peralatan yang baik. Fotografi hidupan liar sering dianggap remeh, namun seperti fotografi secara amnya, sebuah gambar bernilai seribu perkataan. Fotografi hidupan liar sering memerlukan kanta telefoto yang panjang, walaupun perkara seperti kawanan burung atau makhluk kecil perlu kanta lain. Banyak haiwan eksotik sukar untuk dijumpai, dan taman ada kalanya mempunyai peraturan sekiranya mengambil gambar untuk tujuan komersial. Haiwan liar mungkin sama ada pemalu atau agresif. Persekitaran mungkin sejuk, panas atau seteru.","Berdasarkan petikan, apakah senario yang memerlukan jurugambar hidupan liar menggunakan kanta istimewa?",Jika mereka mengambil gambar haiwan yang sangat kecil,Fotografi hidupan liar mungkin hanya dianggap remeh,0,0.0,0.9893,,,,,
A0028,mt5-base,malay,B_ce_lora,dora,42,24,"Keputusan En. Rudd untuk menandatangani persetujuan iklim Kyoto akan mengasingkan Amerika Syarikat, yang kini akan menjadi satu-satunya negara maju yang tidak meratifikasi perjanjian tersebut. Bekas kerajaan konservatif Australia menolak untuk menandatangani perjanjian Kyoto, dengan mengatakan ia akan menjejaskan ekonomi dengan kebergantungan tinggi terhadap eksport arang batu, sementara negara seperti India dan China tidak terikat dengan sasaran pelepasan gas rumah kaca.","Seperti yang dinyatakan dalam petikan, negara manakah yang terjejas dengan menandatangani persetujuan iklim Kyoto?",Amerika Syarikat,samp,0,0.0,0.0006,,,,,
A0029,mt5-base,arabic,C_composite_lora,dora,42,169,"في عام 1998 بدأت الشبكة باستخدام نهج الحد الأدنى في هويتها المصورة التي صممها بيتارد ساليفان، إذ تعرض شعاراً صغيراً مكوناً من ""دائرة أيه بي سي"" باللونين الأسود والأبيض على خلفية صفراء (عرضت الحملات الترويجية خلال هذا الوقت كذلك سلسلةً من الصور الثابتة لنجوم برامجها خلال البطاقة الإعلانية بالإضافة إلى مقطع الجدول الزمني الذي استهل تشكيلة برامج أوقات الذروة لكل ليلة). تم تقديم تتر جديد مكون من أربع نغماتٍ إلى جانب الباقة، حيث يتمحور حول الحملة التسويقية ""نحن نحب التلفاز"" التي قدمتها الشبكة في ذلك العام لتحسين صورتها، مما أدى إلى إنشاء توقيعٍ صوتي على قدم المساواة مع ترنيمات شبكة إن بي سي وعلامات شبكة سي بي أس الصوتية المختلفة ذات ثلاث نغمات (بما فيها الإصدار الحالي المستخدم منذ عام 2000) واستعراض شبكة فوكس الموسيقي. تم تحديث التوقيع الصوتي ذي الأربع نغمات مع كل موسم تلفزيوني بعد ذلك (إلا أن بعضاً من أشكاله المختلفة المستخدمة منذ موسم 1998–1999 لا تزال قيد الاستخدام خلال بطاقات التعريف بشركات الإنتاج التي تظهر بعد شارة الختام لمعظم البرامج). في خريف عام 2015 أوقفت أيه بي سي تتراتها ذات النغمات الأربعة التي استخدمتها على مدى 1998-2002 للعروض الترويجية وبطاقات التعريف بشركات الإنتاج بعد شارة الختام لمعظم برامجها على مدار سبعة عشر عاماً، والآن لديها موسيقى مختلفة من نوع المغامرة (مع طبول توقيع الشبكة الصوتي ذي أربعة نغمات في النهاية). لا يزال يُستخدم التتر القديم المكون من أربع نغمات من قبل أيه بي سي أون ديماند في بداية عرض برنامج أيه بي سي.",أين تظل ترنيمة أيه بي سي المكونة من أربع نغمات قيد الاستخدام؟,أيه بي سي أون ديماند,ال,0,0.0,0.0016,,,,,
A0030,mt5-base,arabic,C_composite_lora,dora,42,308,"‏الاتجاه الحديث في التصميم يكمن في دمج التخصصات التي سبق فصلها، وخاصة داخل الشركات الكبيرة. كان من المرجح في الماضي أن يكون المهندسين المعماريين ومصممي الديكور الداخلي والمهندسين والمطورين ومديري الإنشاءات والمقاولين العامين شركات منفصلة تمامًا، حتى ضمن الشركات الكبرى. في الوقت الحالي، قد يكون لدى الشركة التي تعتبر اسميًا ""هندسية"" أو ""إدارة الإنشاءات"" خبراء من جميع المجالات ذات الصلة كموظفين، أو أن يكون لها شركة مرتبطة توفر كل المهارات الضرورية. وبالتالي، قد تقدم كل شركة نفسها كشركة ""خدمات متكاملة"" لمشاريع البناء من البداية إلى النهاية. ويتم تحديد ذلك على أنه عقد ""تصميم البناء"" حيث يتم إعطاء المقاول مواصفات أداء ويجب عليه تنفيذ المشروع من التصميم إلى البناء، مع الالتزام بمواصفات الأداء.",‏ما الذي كان من المرجح أن يكون عليه المهندسون المعماريون ومصممو الديكور الداخلي والمهندسون والمطورون ومديرو الإنشاءات والمقاولون العامون حتى في الشركات الكبيرة؟,شركات منفصلة تمامًا,,0,0.0,0.0,,,,,
A0031,mt5-base,arabic,C_composite_lora,dora,42,203,"‏تسببت غزوات بغداد وسمرقند وأورقنج وكييف وفلاديمير وغيرها في عمليات قتل جماعية، كما حدث عندما دُمرت أجزاء من جنوب خوزستان بالكامل. ودمّر خلفه هولاكو خان الجزء الأكبر من الجزء الشمالي من إيران ونهب بغداد على الرغم من إيقاف قواته من قبل المماليك في مصر، ولكن خلف هولاكو غازان خان ستعود إلى لتطرد المماليك المصريين من بلاد الشام وفلسطين وحتى غزة. وفقا لأعمال المؤرخ الفارسي رشيد الدين الهمذاني، قتل المغول أكثر من 70,000 شخص في مرو وأكثر من 190,000 شخص في نيسابور. وفي عام 1237 قام باتو خان حفيد جنكيز خان بغزو في روس الكييفية. على مدار ثلاث سنوات، قام المغول بتدمير وإبادة جميع المدن الرئيسية في أوروبا الشرقية باستثناء نوفغورود وبسكوف.",‏في أي عام قام حفيد جنكيز خان بغزو روس الكييفية؟,1237,,0,0.0,0.0,,,,,
A0032,mt5-base,malay,C_composite_lora,qlora,42,221,"Kejutan kepulangan terjadi lebih awal daripada kejutan budaya (terdapat fasa bulan madu yang kurang), bertahan lebih lama dan mungkin lebih teruk. Pelancong-pelancong yang senang menyesuaikan diri kepada budaya baharu kadang-kadang mempunyai masa yang sukar untuk menyesuaikan kembali kepada budaya asal mereka sendiri. Apabila pulang selepas tinggal di luar negara, anda telah menyesuaikan diri dengan budaya baharu dan kehilangan beberapa tabiat anda daripada budaya rumah anda. Apabila pertama kali anda ke keluar negara, orang mungkin bersabar dan memahami, memandangkan pengembara yang berada di negara baharu perlu menyesuaikan diri. Orang ramai tidak boleh menjangka bahawa kesabaran dan kefahaman adalah wajib untuk pelancong yang pulang.",Apakah yang sukar dilakukan oleh pelancong-pelancong yang mengalami kejutan kepulangan?,Menyesuaikan diri semula kepada budaya asal mereka,Berkesuaikan diri semula kepada budaya tempat baharu,0,0.5714,0.9932,,,,,
